"ï»¿retailer,fascia,store_name,add_one,add_two,town,suburb,postcode"
"Aldi,Aldi,Aldi Aberdeen,Unit 9-10 Boulevard Retail Park,,Aberdeen,Central Aberdeen,AB11 5EJ"
"Aldi,Aldi,Aldi Westhill,Westhill Drive,,Westhill,Westhill,AB32 6FY"
"Aldi,Aldi,Aldi Ellon,Ythan Terrace,,Ellon,,AB41 9LJ"
"Aldi,Aldi,Aldi Inverurie,Loco Works Road,,Inverurie,,AB51 4FY"
"Aldi,Aldi,Aldi Hatfield,11 Parkhouse Court,Comet Way,""Hatfield, Hertfordshire"",Hatfield Business Park,AL10 9RQ"
"Aldi,Aldi,Aldi Sparkbrook Birmingham,273 Stratford Road,Sparkbrook,Birmingham,Sparkbrook,B11 1QS"
"Aldi,Aldi,Aldi Warstock Birmingham,Alcester Road,Maypole Lane,Birmingham,Warstock,B19 5JE"
"Aldi,Aldi,Aldi Aston Birmingham,High Street,Newtown,Birmingham,Aston,B19 2SS"
"Aldi,Aldi,Aldi Lyndon Green Birmingham,New Coventry Road,,Birmingham,Lyndon Green,B26 3HP"
